95,70,8
38, 2,2
38,68,2
38,69,2
7 ,20,28
38,62,4
7 ,28,2
62, 5,4
38,67,2
28,20,6
28,26,6
14,80,4
13,38,4
42,41,10
57, 2,10
84,20,2
9 ,20,2
7 ,96,8
7 ,94,2
80,42,6
7 ,93,4
7 ,90,2
38,15,12
38,14,1
38,17,8
90,28,2
96,84,4
88,85,6
88,84,40
70, 4,2
70, 7,10
88,82,10
79,62,2
38,84,4
38,85,18
38,82,8
38,80,10
6 ,56,4
38,88,4
93,88,2
88,17,8
88,14,2
88,15,6
62,38,2
88,13,6
61, 5,4
68,28,2
56,77,8
4 , 5,2
4 , 2,2
56,70,3
9 ,38,2
56,79,2
9 ,95,2
93,56,2
58,17,10
58,15,4
58,13,4
95,38,26
15,28,32
13, 6,6
13, 7,18
15,20,2
9 ,85,2
9 ,82,4
15,77,2
85,77,6
70,42,4
85,79,2
13,70,8
14,41,6
13,79,4
58,80,4
58,82,6
62,28,4
58,84,6
58,85,4
58,88,2
95,85,28
95,84,6
95,82,10
95,80,16
95,88,12
88, 5,4
88, 6,1
88, 7,18
88, 1,2
38,57,4
38,56,28
38,58,6
6 ,84,2
6 ,85,2
6 ,80,2
84,88,8
7 ,58,2
84,80,4
7 ,56,7
57,94,2
42,94,4
42,95,4
42,96,4
28,79,4
28,77,38
62,58,2
28,70,18
42,15,10
84,70,12
7 , 4,2
7 , 5,10
7 , 6,19
7 , 1,4
96,62,14
94,88,6
6 ,13,6
6 ,14,2
94,80,8
94,82,10
15,94,10
94,85,18
62,88,2
62,70,2
62,77,2
80,17,20
80,14,4
80,15,17
42,17,2
80,13,23
88,58,4
80,56,12
88,56,7
15, 2,2
15, 1,2
94, 7,2
15, 7,8
15, 4,4
15, 5,14
94, 9,2
69,90,2
69,94,2
62,82,4
1 ,70,2
79,20,2
70,79,2
95,79,4
70,77,4
1 ,94,2
1 ,96,18
56,28,92
58,41,6
85, 7,6
1 ,93,7
85, 9,2
85,82,22
85,80,2
85,84,2
85,88,6
94,67,2
94,62,4
15,70,4
95,42,6
95,41,16
94,69,4
7 ,17,12
7 ,14,2
7 ,15,8
58, 7,6
7 ,13,14
58, 5,2
58, 4,2
42,56,8
28,38,38
42,58,4
14,79,10
13,41,8
14,77,6
13,42,2
14,70,4
84,38,2
14, 1,2
85,38,28
7 ,80,28
7 ,82,12
7 ,85,6
7 ,84,28
90,14,18
7 ,88,22
80,58,2
28,85,42
28,84,6
28,82,36
28,80,16
88,96,2
88,94,8
88,95,6
88,93,2
28,88,22
